"mp-9998",196
"mp-999502",428
"mp-999501",1
"mp-999484",45
"mp-999388",49
"mp-999377",197
"mp-999376",398
"mp-999308",990
"mp-999298",955
"mp-999259",102
"mp-999206",19
"mp-999205",63
"mp-999203",65
"mp-999200",0
"mp-999198",170
"mp-999187",20
"mp-999143",576
"mp-999133",183
"mp-999120",304
"mp-999118",485
"mp-999079",6
"mp-999072",89
"mp-999068",178
"mp-999027",170
"mp-998988",20
"mp-998987",68
"mp-998986",91
"mp-998985",275
"mp-998982",118
"mp-998981",4
"mp-998979",61
"mp-998972",265
"mp-998968",347
"mp-998949",413
"mp-998947",174
"mp-998919",338
"mp-9989",100
"mp-998897",245
"mp-998896",32
"mp-998894",97
"mp-998893",60
"mp-998890",83
"mp-998883",124
"mp-998881",2
"mp-998866",12
"mp-998860",20
"mp-9987",53
"mp-998",90
"mp-997618",8
"mp-997617",586
"mp-997616",680
"mp-997569",0
"mp-9973",347
"mp-9972",45
"mp-997182",0
"mp-9971",120
"mp-9970",100
"mp-9969",33
"mp-996162",303
"mp-9961",141
"mp-9958",184
"mp-9957",148
"mp-9954",941
"mp-9953",879
"mp-995205",540
"mp-995181",132
"mp-9950",198
"mp-9948",72
"mp-994",30
"mp-9939",235
"mp-9938",263
"mp-9935",209
"mp-9934",4
"mp-9924",99
"mp-992",328
"mp-9919",11
"mp-991676",1
"mp-991652",1
"mp-9915",0
"mp-9908",76
"mp-990448",0
"mp-990424",0
"mp-9899",0
"mp-9898",102
"mp-989782",111
"mp-989737",57
"mp-9897",18
"mp-989695",115
"mp-988940",48
"mp-988939",228
"mp-9886",192
"mp-9872",0
"mp-987",31
"mp-985825",32
"mp-985806",148
"mp-985805",109
"mp-985702",353
"mp-985443",108
"mp-985439",177
"mp-985297",550
"mp-985296",181
"mp-985295",48
"mp-985288",484
"mp-985287",286
"mp-985283",72
"mp-985282",82
"mp-985281",870
"mp-984784",315
"mp-984769",173
"mp-984728",19
"mp-984725",501
"mp-984724",3
"mp-984720",4
"mp-984719",92
"mp-984718",5
"mp-984704",575
"mp-984699",484
"mp-984612",595
"mp-9846",0
"mp-984518",62
"mp-9845",0
"mp-984353",792
"mp-984351",275
"mp-984106",1308
"mp-984100",518
"mp-983850",94
"mp-983609",587
"mp-983607",666
"mp-983602",245
"mp-983598",245
"mp-983594",26
"mp-983585",3
"mp-983584",245
"mp-983566",42
"mp-983539",89
"mp-983509",136
"mp-983459",786
"mp-983445",146
"mp-983430",306
"mp-983412",388
"mp-983388",171
"mp-983365",160
"mp-983359",58
"mp-983235",403
"mp-983230",15
"mp-983152",1644
"mp-983123",196
"mp-983062",78
"mp-9830",323
"mp-982981",1137
"mp-982974",362
"mp-982873",118
"mp-982871",185
"mp-982870",129
"mp-982780",104
"mp-982779",245
"mp-982773",24
"mp-982725",718
"mp-9827",213
"mp-982667",1003
"mp-982666",915
"mp-982665",48
"mp-982595",1225
"mp-982510",855
"mp-982443",229
"mp-982381",57
"mp-982376",363
"mp-982370",0
"mp-982246",396
"mp-982070",193
"mp-981935",8
"mp-981933",12
"mp-981749",128
"mp-981539",1039
"mp-981391",735
"mp-981390",221
"mp-981387",579
"mp-981385",21
"mp-981384",1168
"mp-981383",56
"mp-981382",254
"mp-981380",548
"mp-981377",154
"mp-981375",277
"mp-981368",203
"mp-981365",122
"mp-981336",72
"mp-981312",4
"mp-981311",522
"mp-981310",642
"mp-981232",183
"mp-981214",219
"mp-981211",460
"mp-981210",355
"mp-980947",74
"mp-980945",67
"mp-980905",264
"mp-980750",279
"mp-980665",846
"mp-980661",76
"mp-980649",337
"mp-980204",164
"mp-980203",627
"mp-980109",755
"mp-980094",153
